mutation,date,min_x,max_x,min_y,max_y
HO1120,1939-08-26,2684454.283,2684519.816,1247152.630,1247207.144
HO1121,1939-10-19,2684752.494,2684818.861,1246581.051,1246625.790
HO1125,1939-12-14,2686984.226,2687169.893,1248939.832,1249059.637
HO1126,1939-12-26,2684555.994,2684597.215,1246860.985,1246914.207
HO1129,1940-01-19,2684230.454,2684260.652,1246719.665,1246770.352
HO1134,1940-06-14,2684772.476,2684832.493,1246627.388,1246677.230
HO1137,1940-08-23,2684335.090,2684370.150,1246960.105,1247015.356
HO1144,1940-12-04,2684674.179,2684740.762,1247506.913,1247575.698
HO1154,1941-12-05,2685122.323,2685160.765,1247483.063,1247512.356
HO1179,1942-11-19,2683898.551,2684007.516,1247066.380,1247166.021
HO1180,1942-11-27,2684690.684,2684717.604,1247478.255,1247506.285
HO1187,1943-04-10,2684661.209,2684703.170,1247472.275,1247529.383
HO1192,1943-06-17,2685358.244,2685426.022,1246993.836,1247046.009
HO1195,1943-08-24,2685374.112,2685439.169,1246966.012,1247016.921
HO1202,1944-03-31,2684229.792,2684251.118,1246800.457,1246825.011
HO1206,1944-08-23,2684263.844,2684279.152,1246802.548,1246820.708
HO1208,1944-09-14,2683986.895,2684013.115,1247194.325,1247220.060
HO1209,1944-11-18,2684240.225,2684282.168,1246789.573,1246831.544
HO1214,1945-03-09,2685298.883,2685348.766,1247016.631,1247058.572
HO1215,1945-03-12,2684244.652,2684269.332,1246813.618,1246838.310
HO1221,1945-07-11,2684565.790,2684595.993,1246617.788,1246655.243
HO1225,1945-11-23,2684604.796,2684669.107,1246810.955,1246859.827
HO1227,1945-12-14,2685293.581,2685331.262,1247055.023,1247125.858
HO1231,1946-01-24,2684926.273,2684976.803,1247659.206,1247701.128
HO1235,1946-06-15,2685055.899,2685085.270,1246946.571,1246975.554
HO1238,1946-08-24,2686490.169,2686563.661,1248668.501,1248725.652
HO1249,1947-01-09,2684973.310,2685014.980,1246794.638,1246836.430
HO1250,1947-01-17,2684494.457,2684538.768,1246878.207,1246923.489
HO1251,1947-04-09,2684859.352,2684894.778,1247690.255,1247724.302
HO1252,1947-08-19,2684143.148,2684186.227,1246830.237,1246870.306
HO1254,1947-10-14,2684763.713,2684803.848,1246911.686,1246961.893
HO1255,1947-10-30,2684870.414,2684880.981,1247709.316,1247748.044
HO1263,1947-12-31,2684721.170,2684778.662,1247218.983,1247248.987
HO1264,1948-03-05,2684131.918,2684165.338,1247051.990,1247088.362
HO1265,1948-02-03,2684741.283,2684778.264,1247151.388,1247186.804
HO1272,1948-06-05,2685262.505,2685316.635,1247235.085,1247276.895
HO1275,1948-06-28,2685070.979,2685103.666,1246885.632,1246934.303
HO1284,1948-10-11,2684770.701,2684778.903,1246980.606,1247010.535
HO1286,1948-11-02,2684651.456,2684693.947,1247331.225,1247379.095
HO1298,1949-01-08,2685050.492,2685061.209,1246923.400,1246954.729
HO1299,1949-01-21,2684029.457,2684176.605,1246968.754,1247063.695
HO1305,1949-03-25,2685333.742,2685437.900,1247180.699,1247289.616
HO1311,1949-10-17,2684704.986,2684732.564,1247206.704,1247232.564
HO1312,1949-10-17,2684639.521,2684702.878,1247112.792,1247247.365
HO1313,1949-10-31,2684570.256,2684707.360,1246982.156,1247007.078
HO1323,1950-03-21,2684982.379,2685150.393,1247763.686,1247797.845
HO1324,1950-03-06,2684706.463,2684755.299,1247646.498,1247685.209
HO1325,1950-04-21,,,,
HO1326,1950-07-24,2685191.306,2685220.609,1247617.648,1247657.700
HO1329,1950-09-13,2685211.799,2687014.913,1247801.751,1248741.915
HO1330,1950-07-23,2684775.486,2684803.020,1247152.601,1247180.171
HO1331,1950-09-21,2684799.103,2684844.985,1246601.610,1246641.662
HO1343,1950-11-22,2685155.928,2685181.161,1247560.523,1247590.305
HO1344,1951-02-06,2684864.210,2684959.532,1246666.193,1246734.015
HO1345,1951-02-25,2684665.118,2684699.517,1246823.448,1246851.631
HO1348,1951-02-21,2684409.969,2684446.789,1246760.533,1246791.695
HO1349,1951-03-01,2684152.965,2684175.668,1247144.271,1247164.305
HO1351,1951-04-14,2685226.547,2685346.237,1247861.985,1247923.941
HO1354,1951-05-16,2684632.168,2684783.432,1246640.214,1246939.008
HO1362,1951-06-12,2684273.464,2684301.467,1246815.369,1246851.079
HO1364,1951-07-06,2684275.889,2684319.969,1246825.349,1246857.192
HO1368,1951-08-27,2685182.922,2685228.710,1247791.581,1247849.294
HO1374,1951-11-02,2685293.266,2685339.033,1247320.210,1247360.613
HO1375,1951-12-07,2684616.830,2684652.380,1247156.132,1247260.285
HO1376,1952-01-10,2684663.006,2684686.612,1247221.353,1247269.710
HO1381,1952-02-15,2684906.184,2684985.790,1247314.921,1247407.254
HO1382,1952-02-22,2685344.678,2685351.687,1247346.197,1247351.694
HO1384,1952-04-30,2684050.406,2684095.557,1246791.411,1246838.920
HO1385,1952-06-05,2685333.351,2685350.432,1247332.832,1247348.535
HO1386,1952-06-05,2684511.538,2684576.258,1246695.811,1246749.325
HO1391,1952-06-20,2685006.017,2685055.198,1247393.716,1247431.945
HO1392,1952-07-08,2685309.615,2685355.837,1247360.613,1247410.314
HO1393,1952-09-22,2684107.704,2684130.819,1247191.403,1247220.985
HO1394,1952-09-23,2684104.164,2684134.618,1247191.452,1247253.492
HO1395,1952-09-23,2684171.744,2684202.808,1246796.904,1246837.122
HO1396,1952-11-28,2684829.677,2684866.374,1247112.553,1247156.824
HO1397,1953-01-19,2685226.797,2685259.840,1247564.841,1247607.605
HO1407,1953-02-12,2684423.315,2684484.602,1247276.224,1247341.689
HO1415,1953-04-17,2685386.738,2685454.919,1246935.517,1246991.065
HO1416,1953-04-23,2685179.295,2685251.002,1247330.873,1247389.332
HO1417,1953-05-22,2684129.264,2684591.198,1246840.821,1247009.717
HO1418,1953-05-27,2684224.142,2684316.577,1246569.263,1246647.928
HO1419,1953-05-20,2685323.925,2685359.189,1247346.708,1247357.575
HO1420,1953-06-03,2684501.069,2684526.271,1246788.746,1246816.202
HO1422,1953-07-21,2684931.210,2685000.582,1247290.214,1247359.152
HO1425,1953-11-20,2684498.286,2684592.766,1247033.381,1247066.936
HO1426,1953-12-30,2684438.767,2684676.063,1246928.141,1246972.103
HO1427,1953-12-29,2684974.022,2685023.970,1247360.721,1247394.104
HO1429,1954-01-25,2684780.572,2684829.791,1247585.597,1247637.507
HO1431,1954-03-31,2684398.057,2684672.091,1246988.263,1247019.087
HO1434,1954-08-18,2684591.198,2684703.066,1246826.271,1246949.228
HO1436,1954-10-05,2684805.664,2684981.380,1247358.106,1247450.431
HO1455,1954-12-23,2684679.467,2684767.149,1247552.820,1247615.227
HO1464,1955-03-29,2686967.030,2687087.031,1248638.781,1248716.852
HO1470,1955-07-27,2684406.786,2684498.223,1246803.004,1246948.829
HO1472,1955-08-24,2685082.696,2685135.286,1246813.541,1246854.519
HO1474,1955-09-17,2684525.411,2684564.822,1246676.249,1246714.071
HO1475,1955-09-28,2684993.561,2685002.627,1247342.623,1247351.730
HO1476,1955-10-19,2684221.457,2684243.297,1247076.908,1247104.141
HO1477,1955-10-26,2685075.672,2685128.804,1247777.247,1247823.890
HO1478,1955-10-26,2684459.450,2684472.308,1247265.949,1247275.458
HO1479,1956-02-02,2684418.287,2684630.718,1246929.626,1247012.603
HO1480,1956-02-10,2685223.619,2685264.785,1247521.823,1247563.725
HO1481,1960-11-11,2684934.451,2684983.472,1247569.083,1247636.976
HO1482,1956-05-04,2684416.424,2684484.819,1247166.439,1247238.124
HO1483,1956-11-09,2685218.327,2685263.963,1247389.944,1247437.198
HO1485,1956-06-13,2684846.593,2684885.405,1247272.496,1247328.606
HO1486,1956-06-26,2684583.049,2684735.841,1246628.133,1246845.896
HO1489,1956-09-28,2684846.587,2684890.350,1247339.618,1247383.604
HO1490,1956-10-05,2685235.499,2685273.727,1247342.027,1247390.617
HO1491,1956-10-17,2684970.695,2685012.286,1247343.170,1247377.867
HO1492,1956-12-01,2684974.007,2685182.687,1247492.367,1247752.047
HO1507,1957-03-27,2685824.993,2686498.704,1247547.453,1248089.498
HO1514,1957-05-03,2685403.481,2685469.236,1246892.708,1246960.096
HO1515,1957-05-02,2684650.917,2684688.270,1246622.011,1246658.182
HO1516,1957-07-01,2685555.392,2685617.788,1248138.458,1248455.240
HO1517,1957-07-11,2687309.744,2687346.369,1247580.049,1247615.271
HO1519,1957-08-23,2685245.128,2685773.680,1247443.657,1247534.672
HO1520,1957-09-16,2684923.547,2684972.140,1247631.146,1247689.522
HO1521,1957-09-30,2684802.171,2684845.440,1247482.541,1247530.407
HO1523,1957-10-15,2684588.484,2684643.302,1246722.713,1246764.506
HO1529,1958-05-05,2684165.041,2684232.851,1247065.659,1247107.731
HO1530,1958-01-09,2684640.666,2684682.488,1247382.376,1247440.522
HO1537,1958-05-30,2685743.383,2685864.091,1248586.149,1248735.346
HO1538,1958-06-04,2684533.669,2684662.928,1246614.563,1246750.666
HO1543,1958-09-12,2683909.907,2683971.134,1247215.208,1247286.301
HO1546,1958-10-30,2684729.523,2684758.005,1247242.152,1247279.727
HO1548,1958-12-24,2684114.423,2684308.786,1246874.706,1247137.678
HO1549,1959-03-04,2684764.116,2684803.083,1247475.407,1247519.637
HO1552,1959-05-13,2684864.713,2684900.792,1246793.963,1246835.703
HO1553,1959-05-22,2685188.019,2685241.322,1247511.187,1247582.447
HO1554,1959-06-04,2685464.813,2685477.711,1246918.754,1246931.938
HO1555,1959-06-16,2684044.330,2684080.010,1247219.266,1247258.093
HO1557,1959-07-23,2684202.237,2684220.808,1247090.056,1247111.378
HO1564,1959-12-07,2686006.689,2686353.174,1248083.911,1248135.597
HO1565,1960-02-04,2684830.745,2684974.679,1246805.296,1246896.457
HO1566,1960-02-02,2684986.818,2685000.835,1246691.548,1246706.681
HO1567,1960-02-10,2684753.333,2684783.934,1247073.938,1247279.295
HO1568,1960-03-02,2685413.169,2685515.031,1246922.409,1247072.205
HO1569,1960-04-05,2685230.860,2685257.150,1247676.142,1247699.877
HO1570,1960-06-09,2684343.575,2684479.570,1246756.859,1246912.884
HO1579,1960-08-08,2684720.672,2684877.195,1247349.689,1247774.198
HO1580,1960-08-16,2684846.320,2684904.772,1247139.962,1247186.762
HO1584,1961-01-25,2685264.806,2685319.279,1246735.520,1246786.639
HO1585,1961-02-28,2684768.677,2685067.670,1246652.331,1246724.187
HO1586,1961-06-07,2685436.350,2685964.201,1247060.770,1247457.607
HO1587,1961-05-19,2685816.202,2686045.901,1247683.114,1247851.939
HO1593,1961-07-27,2684162.449,2684184.832,1247085.939,1247119.867
HO1594,1961-08-24,2684941.447,2685038.238,1247484.086,1247601.618
HO1595,1961-09-02,2685285.742,2685327.308,1247034.567,1247163.324
HO1599,1961-12-19,2685249.883,2685283.892,1247542.400,1247586.315
HO1601,1962-01-18,2684871.787,2684903.635,1247168.399,1247205.394
HO1605,1962-05-08,2685079.687,2685141.706,1246840.780,1246879.941
HO1606,1962-05-22,2685319.305,2685385.300,1246867.760,1247002.175
HO1608,1962-08-24,2685840.394,2686373.108,1247987.184,1248602.709
HO1609,1962-09-27,2685202.522,2685320.703,1246833.224,1247103.834
HO1610,1962-10-24,2684615.235,2684652.693,1247333.614,1247375.741
HO1611,1962-11-01,2685248.787,2685262.269,1247540.624,1247565.867
HO1612,1962-11-22,2684130.205,2684243.297,1247101.029,1247156.070
HO1613,1962-12-03,2684888.508,2684962.148,1247732.474,1247792.486
HO1614,1962-12-10,2685566.847,2685847.004,1248429.658,1248729.071
HO1617,1963-02-19,2685733.064,2686647.253,1247482.854,1247745.148
HO1624,1963-03-15,2684970.565,2685003.824,1247116.217,1247149.045
HO1625,1963-05-14,2685303.335,2685374.277,1247841.462,1247917.043
HO1629,1963-10-18,2684613.979,2684706.094,1247508.775,1247585.369
HO1631,1964-03-10,2685000.311,2685151.994,1246718.941,1246768.054
HO1632,1964-01-24,2684689.111,2684772.676,1247606.816,1247671.312
HO1633,1964-04-01,2684218.976,2684232.094,1246831.219,1246849.639
HO1634,1964-04-02,2685103.699,2685151.976,1247519.155,1247569.656
HO1635,1964-06-18,2686760.543,2686956.376,1248863.457,1248966.867
HO1636,1964-06-18,2687062.337,2687171.611,1248214.483,1248395.162
HO1639,1964-08-04,2684444.466,2684634.132,1247143.634,1247224.268
HO1640,1964-08-04,2684433.875,2684480.407,1247188.418,1247228.697
HO1644,1964-08-06,2684868.104,2684999.706,1247490.358,1247577.591
HO1648,1964-10-19,2684992.835,2685009.810,1246989.743,1247173.473
HO1649,1964-10-06,2684689.701,2684740.512,1247171.107,1247494.848
HO1650,1964-11-17,2685130.811,2685218.834,1247744.162,1247826.236
HO1657,1965-05-18,2685255.424,2685307.753,1247209.776,1247246.645
HO1658,1965-06-24,2684945.853,2684989.648,1246802.039,1246846.321
HO1659,1965-06-24,2685587.401,2685610.588,1247970.327,1248021.193
HO1661,1965-08-04,2684829.364,2684878.657,1247317.782,1247368.335
HO1662,1965-08-06,2685198.959,2685244.302,1247447.892,1247487.745
HO1663,1965-08-24,2684793.061,2684898.201,1247709.018,1247790.270
HO1664,1965-10-05,2684082.319,2684117.314,1247491.460,1247520.541
HO1667,1966-01-06,2684624.587,2684725.486,1247268.196,1247358.729
HO1669,1966-04-20,2684626.803,2684679.633,1246666.244,1246721.371
HO1670,1966-05-27,2685037.774,2685059.208,1246689.800,1246716.893
HO1673,1966-10-25,2684358.740,2684408.714,1246879.541,1246913.217
HO1674,1966-10-28,2686854.324,2686940.301,1248447.952,1248608.186
HO1678,1967-02-03,2684177.661,2684230.886,1246820.940,1246848.772
HO1684,1967-02-28,2685193.009,2685244.910,1247382.155,1247423.922
HO1686,1967-04-07,2686507.162,2686757.282,1248527.098,1248718.857
HO1691,1967-06-09,2685561.059,2685633.049,1247972.852,1248016.665
HO1695,1967-08-02,2684921.862,2684941.724,1246763.825,1246791.969
HO1701,1968-02-02,2684971.175,2685032.975,1247618.831,1247682.969
HO1703,1968-05-07,2685022.285,2685047.295,1246967.443,1246988.278
HO1704,1968-05-08,2685999.705,2686350.097,1247965.571,1248129.749
HO1705,1968-05-17,2684515.120,2684566.729,1246561.694,1246606.190
HO1707,1968-08-15,2684020.298,2684060.368,1247226.694,1247270.245
HO1709,1968-10-25,2685405.636,2685446.648,1247919.747,1247964.885
HO1710,1968-10-25,2684828.018,2684877.060,1247460.747,1247512.786
HO1713,1968-12-11,2684947.677,2685192.389,1247454.196,1247750.862
HO1715,1969-06-10,2684982.340,2685044.470,1247290.484,1247335.961
HO1719,1969-08-12,2684760.044,2684815.316,1247119.888,1247168.456
HO1721,1969-10-02,2684837.110,2684866.190,1247411.289,1247425.903
HO1723,1969-11-03,2686590.584,2686693.958,1248587.359,1248674.581
HO1724,1969-11-03,2684976.364,2685058.038,1247578.629,1247629.057
HO1725,1969-12-10,2684064.563,2684101.018,1247483.212,1247513.840
HO1727,1970-02-26,2684539.510,2684582.082,1246651.855,1246694.346
HO1728,1970-02-24,2685080.051,2685131.204,1247485.408,1247549.078
HO1729,1970-04-24,2684758.280,2685302.455,1246993.375,1247510.917
HO1730,1970-06-04,2684810.279,2684875.347,1246539.987,1246592.353
HO1731,1970-07-10,2684972.886,2685009.072,1247536.616,1247588.118
HO1732,1970-06-26,,,,
HO1733,1970-08-21,2686677.714,2686750.558,1248601.865,1248711.343
HO1734,1970-12-17,2685076.599,2685125.112,1247101.175,1247332.360
HO1735,1971-01-14,2686949.839,2687047.949,1248789.333,1248986.770
