point,type,protection,x,y,created_by,created
AA3420,Bolzen,,2683575.371,1247121.265,EN503,1949-09-05
AA3421,Bolzen,,2683577.767,1247115.670,EN503,1949-09-05
AA3422,Bolzen,,2683585.787,1247114.748,EN503,1949-09-05
AA3423,Bolzen,,2683592.602,1247104.188,EN503,1949-09-05
AA3424,Bolzen,,2683599.749,1247093.514,EN503,1949-09-05
AA3425,Bolzen,,2683579.758,1247077.408,EN503,1949-09-05
AA3426,Bolzen,,2683629.608,1247332.449,EN503,1949-09-05
AA3427,Bolzen,,2683660.924,1247307.853,EN503,1949-09-05
AA3428,Bolzen,,2683687.071,1247287.880,EN503,1949-09-05
AA3429,Bolzen,,2683686.433,1247276.928,EN503,1949-09-05
AA3430,Bolzen,,2683706.145,1247262.790,EN503,1949-09-05
AA3431,Bolzen,,2683583.305,1247084.866,EN503,1949-09-05
AA3432,Bolzen,,2683577.329,1247097.195,EN503,1949-09-05
AA3433,Bolzen,,2683569.470,1247093.601,EN503,1949-09-05
AA3434,Bolzen,,2683545.165,1247110.871,EN503,1949-09-05
AA3435,Bolzen,,2683500.334,1247080.775,EN503,1949-09-05
AA3436,Bolzen,,2683940.416,1246835.628,EN503,1949-09-05
AA3437,Bolzen,,2683941.154,1246829.589,EN503,1949-09-05
AA3438,Bolzen,,2683672.143,1247146.016,EN503,1949-09-05
AA3439,Bolzen,,2683697.080,1247136.662,EN503,1949-09-05
AA3440,Stein,,2683737.386,1247029.380,EN503,1949-09-05
AA3441,Stein,,2683453.910,1247172.450,EN503,1949-09-05
AA3443,Stein,,2683713.677,1247306.222,EN503,1949-09-05
AA3444,Bolzen,,2683798.031,1246632.332,EN503,1949-09-05
AA3446,Bolzen,,2683756.299,1246685.371,EN503,1949-09-05
AA3447,Bolzen,,2683767.352,1246696.804,EN503,1949-09-05
AA3451,Bolzen,,2683584.308,1247058.628,EN503,1949-09-05
AA3452,Bolzen,,2683701.191,1246953.814,EN503,1949-09-05
AA3453,Bolzen,,2683866.353,1246771.190,EN503,1949-09-05
AA3454,Bolzen,,2683765.383,1246895.040,EN503,1949-09-05
AA3502,Bolzen,,2683443.985,1247321.622,EN503,1949-09-05
AA3503,Bolzen,,2683454.013,1247320.882,EN503,1949-09-05
AA3504,Bolzen,,2683459.141,1247311.599,EN503,1949-09-05
AA3506,Bolzen,,2683416.007,1247406.524,EN503,1949-09-05
AA3507,Bolzen,,2683439.949,1247411.376,EN503,1949-09-05
AA3508,Bolzen,,2683428.340,1247414.521,EN503,1949-09-05
AA3509,Bolzen,,2683430.570,1247439.301,EN503,1949-09-05
AA3510,Stein,,2683460.193,1247436.287,EN503,1949-09-05
AA3511,Bolzen,,2683472.204,1247434.806,EN503,1949-09-05
AA3512,Bolzen,,2683471.242,1247441.028,EN503,1949-09-05
AA3513,Bolzen,,2683486.517,1247446.529,EN503,1949-09-05
